alias	target_attribute	target_value	lang	weight	guard	notes
displayhdr 1000	hdr_standard	DISPLAYHDR_1000	ru	1.0		value_alias
1 портов	ports_count	1	ru	1.0		value_alias
1	ports_count	1	ru	1.0		value_alias
2 портов	ports_count	2	ru	1.0		value_alias
2	ports_count	2	ru	1.0		value_alias
3 портов	ports_count	3	ru	1.0		value_alias
3	ports_count	3	ru	1.0		value_alias
4 портов	ports_count	4	ru	1.0		value_alias
4	ports_count	4	ru	1.0		value_alias
5 портов	ports_count	5	ru	1.0		value_alias
5	ports_count	5	ru	1.0		value_alias
6 портов	ports_count	6	ru	1.0		value_alias
6	ports_count	6	ru	1.0		value_alias
8 портов	ports_count	8	ru	1.0		value_alias
8	ports_count	8	ru	1.0		value_alias
10 портов	ports_count	10	ru	1.0		value_alias
10	ports_count	10	ru	1.0		value_alias
12 портов	ports_count	12	ru	1.0		value_alias
12	ports_count	12	ru	1.0		value_alias
16 портов	ports_count	16	ru	1.0		value_alias
16	ports_count	16	ru	1.0		value_alias
usb power delivery	charging_standard	USB_PD	ru	1.0		value_alias
usb pd	charging_standard	USB_PD	ru	1.0		value_alias
qualcomm quick charge	charging_standard	QUALCOMM_QC	ru	1.0		value_alias
qualcomm qc	charging_standard	QUALCOMM_QC	ru	1.0		value_alias
magsafe	charging_standard	MAGSAFE	ru	1.0		value_alias
qi wireless	charging_standard	QI	ru	1.0		value_alias
qi	charging_standard	QI	ru	1.0		value_alias
qi2	charging_standard	QI2	ru	1.0		value_alias
pps	charging_standard	PPS	ru	1.0		value_alias
supervooc	charging_standard	SUPERVOOC	ru	1.0		value_alias
hypercharge	charging_standard	HYPERCHARGE	ru	1.0		value_alias
фирменная быстрая зарядка	charging_standard	PROPRIETARY_FAST_CHARGE	ru	1.0		value_alias
proprietary fast charge	charging_standard	PROPRIETARY_FAST_CHARGE	ru	1.0		value_alias
0.15 м	cable_length_m	0_15M	ru	1.0		value_alias
0 15m	cable_length_m	0_15M	ru	1.0		value_alias
0.25 м	cable_length_m	0_25M	ru	1.0		value_alias
0 25m	cable_length_m	0_25M	ru	1.0		value_alias
0.5 м	cable_length_m	0_5M	ru	1.0		value_alias
0 5m	cable_length_m	0_5M	ru	1.0		value_alias
1 м	cable_length_m	1M	ru	1.0		value_alias
1m	cable_length_m	1M	ru	1.0		value_alias
1.2 м	cable_length_m	1_2M	ru	1.0		value_alias
1 2m	cable_length_m	1_2M	ru	1.0		value_alias
1.5 м	cable_length_m	1_5M	ru	1.0		value_alias
1 5m	cable_length_m	1_5M	ru	1.0		value_alias
1.8 м	cable_length_m	1_8M	ru	1.0		value_alias
1 8m	cable_length_m	1_8M	ru	1.0		value_alias
2 м	cable_length_m	2M	ru	1.0		value_alias
2m	cable_length_m	2M	ru	1.0		value_alias
3 м	cable_length_m	3M	ru	1.0		value_alias
3m	cable_length_m	3M	ru	1.0		value_alias
5 м	cable_length_m	5M	ru	1.0		value_alias
5m	cable_length_m	5M	ru	1.0		value_alias
10 м	cable_length_m	10M	ru	1.0		value_alias
10m	cable_length_m	10M	ru	1.0		value_alias
mono	audio_channels	MONO	ru	1.0		value_alias
stereo	audio_channels	STEREO	ru	1.0		value_alias
2.0	audio_channels	TWO_ZERO	ru	1.0		value_alias
two zero	audio_channels	TWO_ZERO	ru	1.0		value_alias
2.1	audio_channels	TWO_ONE	ru	1.0		value_alias
two one	audio_channels	TWO_ONE	ru	1.0		value_alias
5.1	audio_channels	FIVE_ONE	ru	1.0		value_alias
five one	audio_channels	FIVE_ONE	ru	1.0		value_alias
7.1	audio_channels	SEVEN_ONE	ru	1.0		value_alias
seven one	audio_channels	SEVEN_ONE	ru	1.0		value_alias
dolby atmos	audio_channels	ATMOS	ru	1.0		value_alias
atmos	audio_channels	ATMOS	ru	1.0		value_alias
1 микрофон(а)	microphone_count	1	ru	1.0		value_alias
1	microphone_count	1	ru	1.0		value_alias
2 микрофон(а)	microphone_count	2	ru	1.0		value_alias
2	microphone_count	2	ru	1.0		value_alias
3 микрофон(а)	microphone_count	3	ru	1.0		value_alias
3	microphone_count	3	ru	1.0		value_alias
4 микрофон(а)	microphone_count	4	ru	1.0		value_alias
4	microphone_count	4	ru	1.0		value_alias
5 микрофон(а)	microphone_count	5	ru	1.0		value_alias
5	microphone_count	5	ru	1.0		value_alias
6 микрофон(а)	microphone_count	6	ru	1.0		value_alias
6	microphone_count	6	ru	1.0		value_alias
8 микрофон(а)	microphone_count	8	ru	1.0		value_alias
8	microphone_count	8	ru	1.0		value_alias
акселерометр	sensor_set	ACCELEROMETER	ru	1.0		value_alias
accelerometer	sensor_set	ACCELEROMETER	ru	1.0		value_alias
гироскоп	sensor_set	GYROSCOPE	ru	1.0		value_alias
gyroscope	sensor_set	GYROSCOPE	ru	1.0		value_alias
gps	sensor_set	GPS	ru	1.0		value_alias
барометр	sensor_set	BAROMETER	ru	1.0		value_alias
barometer	sensor_set	BAROMETER	ru	1.0		value_alias
pir датчик	sensor_set	PIR	ru	1.0		value_alias
pir	sensor_set	PIR	ru	1.0		value_alias
датчик температуры	sensor_set	TEMPERATURE	ru	1.0		value_alias
temperature	sensor_set	TEMPERATURE	ru	1.0		value_alias
датчик влажности	sensor_set	HUMIDITY	ru	1.0		value_alias
humidity	sensor_set	HUMIDITY	ru	1.0		value_alias
сканер отпечатка	sensor_set	FINGERPRINT	ru	1.0		value_alias
fingerprint	sensor_set	FINGERPRINT	ru	1.0		value_alias
распознавание лица	sensor_set	FACE_ID	ru	1.0		value_alias
face id	sensor_set	FACE_ID	ru	1.0		value_alias
lidar	sensor_set	LIDAR	ru	1.0		value_alias
пульсометр	sensor_set	HEART_RATE	ru	1.0		value_alias
heart rate	sensor_set	HEART_RATE	ru	1.0		value_alias
spo2	sensor_set	SPO2	ru	1.0		value_alias
vesa 75x75	mounting_type	VESA_75	ru	1.0		value_alias
vesa 75	mounting_type	VESA_75	ru	1.0		value_alias
vesa 100x100	mounting_type	VESA_100	ru	1.0		value_alias
vesa 100	mounting_type	VESA_100	ru	1.0		value_alias
vesa 200x200	mounting_type	VESA_200	ru	1.0		value_alias
vesa 200	mounting_type	VESA_200	ru	1.0		value_alias
настенное	mounting_type	WALL	ru	1.0		value_alias
wall	mounting_type	WALL	ru	1.0		value_alias
настольное	mounting_type	DESK	ru	1.0		value_alias
desk	mounting_type	DESK	ru	1.0		value_alias
штатив	mounting_type	TRIPOD	ru	1.0		value_alias
tripod	mounting_type	TRIPOD	ru	1.0		value_alias
на лобовое стекло	mounting_type	CAR_WINDSHIELD	ru	1.0		value_alias
car windshield	mounting_type	CAR_WINDSHIELD	ru	1.0		value_alias
магнитное	mounting_type	MAGNETIC	ru	1.0		value_alias
magnetic	mounting_type	MAGNETIC	ru	1.0		value_alias
8-bit	color_depth	BIT_8	ru	1.0		value_alias
bit 8	color_depth	BIT_8	ru	1.0		value_alias
10-bit	color_depth	BIT_10	ru	1.0		value_alias
bit 10	color_depth	BIT_10	ru	1.0		value_alias
12-bit	color_depth	BIT_12	ru	1.0		value_alias
bit 12	color_depth	BIT_12	ru	1.0		value_alias
струйная	print_technology	INKJET	ru	1.0		value_alias
inkjet	print_technology	INKJET	ru	1.0		value_alias
лазерная	print_technology	LASER	ru	1.0		value_alias
laser	print_technology	LASER	ru	1.0		value_alias
термальная	print_technology	THERMAL	ru	1.0		value_alias
thermal	print_technology	THERMAL	ru	1.0		value_alias
led печать	print_technology	LED	ru	1.0		value_alias
led	print_technology	LED	ru	1.0		value_alias
сублимационная	print_technology	DYE_SUB	ru	1.0		value_alias
dye sub	print_technology	DYE_SUB	ru	1.0		value_alias
100 mbps	network_speed	FAST_ETHERNET	ru	1.0		value_alias
fast ethernet	network_speed	FAST_ETHERNET	ru	1.0		value_alias
1 gbps	network_speed	GIGABIT	ru	1.0		value_alias
gigabit	network_speed	GIGABIT	ru	1.0		value_alias
2.5 gbps	network_speed	TWO_FIVE_G	ru	1.0		value_alias
two five g	network_speed	TWO_FIVE_G	ru	1.0		value_alias
5 gbps	network_speed	FIVE_G	ru	1.0		value_alias
five g	network_speed	FIVE_G	ru	1.0		value_alias
10 gbps	network_speed	TEN_G	ru	1.0		value_alias
ten g	network_speed	TEN_G	ru	1.0		value_alias
1 антенн	antenna_count	1	ru	1.0		value_alias
1	antenna_count	1	ru	1.0		value_alias
2 антенн	antenna_count	2	ru	1.0		value_alias
2	antenna_count	2	ru	1.0		value_alias
3 антенн	antenna_count	3	ru	1.0		value_alias
3	antenna_count	3	ru	1.0		value_alias
4 антенн	antenna_count	4	ru	1.0		value_alias
4	antenna_count	4	ru	1.0		value_alias
6 антенн	antenna_count	6	ru	1.0		value_alias
6	antenna_count	6	ru	1.0		value_alias
8 антенн	antenna_count	8	ru	1.0		value_alias
8	antenna_count	8	ru	1.0		value_alias
12 антенн	antenna_count	12	ru	1.0		value_alias
12	antenna_count	12	ru	1.0		value_alias
1 sim	sim_support	SINGLE_SIM	ru	1.0		value_alias
single sim	sim_support	SINGLE_SIM	ru	1.0		value_alias
2 sim	sim_support	DUAL_SIM	ru	1.0		value_alias
dual sim	sim_support	DUAL_SIM	ru	1.0		value_alias
esim	sim_support	ESIM	ru	1.0		value_alias
nano-sim	sim_support	NANO_SIM	ru	1.0		value_alias
nano sim	sim_support	NANO_SIM	ru	1.0		value_alias
micro-sim	sim_support	MICRO_SIM	ru	1.0		value_alias
micro sim	sim_support	MICRO_SIM	ru	1.0		value_alias
без sim	sim_support	NO_SIM	ru	1.0		value_alias
no sim	sim_support	NO_SIM	ru	1.0		value_alias
сброс выполнен	factory_reset_status	RESET_DONE	ru	1.0		value_alias
reset done	factory_reset_status	RESET_DONE	ru	1.0		value_alias
не сброшено	factory_reset_status	NOT_RESET	ru	1.0		value_alias
not reset	factory_reset_status	NOT_RESET	ru	1.0		value_alias
неизвестно	factory_reset_status	UNKNOWN	ru	1.0		value_alias
unknown	factory_reset_status	UNKNOWN	ru	1.0		value_alias
заблокировано	factory_reset_status	LOCKED	ru	1.0		value_alias
locked	factory_reset_status	LOCKED	ru	1.0		value_alias
32 гб памяти	storage_capacity	32GB	ru	1.0		phrase_alias
64 гб памяти	storage_capacity	64GB	ru	1.0		phrase_alias
128 гб памяти	storage_capacity	128GB	ru	1.0		phrase_alias
256 гб памяти	storage_capacity	256GB	ru	1.0		phrase_alias
512 гб памяти	storage_capacity	512GB	ru	1.0		phrase_alias
1024 гб памяти	storage_capacity	1TB	ru	1.0		phrase_alias
2048 гб памяти	storage_capacity	2TB	ru	1.0		phrase_alias
60 гц экран	refresh_rate_hz	60HZ	ru	1.0		phrase_alias
90 гц экран	refresh_rate_hz	90HZ	ru	1.0		phrase_alias
120 гц экран	refresh_rate_hz	120HZ	ru	1.0		phrase_alias
144 гц экран	refresh_rate_hz	144HZ	ru	1.0		phrase_alias
165 гц экран	refresh_rate_hz	165HZ	ru	1.0		phrase_alias
240 гц экран	refresh_rate_hz	240HZ	ru	1.0		phrase_alias
зарядка 20w	power_watts	20W	ru	1.0		phrase_alias
зарядка 30w	power_watts	30W	ru	1.0		phrase_alias
зарядка 45w	power_watts	45W	ru	1.0		phrase_alias
зарядка 65w	power_watts	65W	ru	1.0		phrase_alias
зарядка 100w	power_watts	100W	ru	1.0		phrase_alias
зарядка 140w	power_watts	140W	ru	1.0		phrase_alias
зарядка 240w	power_watts	240W	ru	1.0		phrase_alias
